Submit_ID,Brand_Reg,Model_No,Family Name,SoldIn,Country,screensize,Screen_Area,Screen_Tech,Pasv_stnd_power,Act_stnd_power,Act_stnd_time,Avg_mode_power,Star,SRI,Labelled energy consumption (kWh/year),SubmitStatus,ExpDate,GrandDate,Product Class,Availability Status,Star2,Product Website,Representative Brand URL,Star Rating Index,Star Image Large,Star Image Small,Power supply,Tuner Type,What test standard was used,Registration Number,Regulatory Standard
56509,THOMSON,32D6,,"Australia,New Zealand",China,80.103,2743.14,LCD,0.7,0.0,0.0,130.0,2.0,2.21640719508094,479.0,Approved,,,Single product class,Unavailable,1.0,,http://www.ifisource.com,0.216407195080943,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png,-,Analogue,AS/NZS 62087.1:2010,ZTV0001,AS/NZS 62087.2.2:2010 (Legacy)
62312,Thomson,CTF2291,,New Zealand,China,55.073,1296.0,LCD,0.39,0.0,0.0,25.0,7.0,7.07053423979254,94.0,Approved,2112-02-15,,Single product class,Unavailable,5.0,,,5.07053423979254,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ZTV0042,AS/NZS 62087.2.2:2010 (Legacy)
62620,TEAC,LEDV1605DT,,New Zealand,China,39.486,666.027,LCD,0.5,0.0,0.0,20.0,6.0,6.32358364125942,76.0,Superseded,2111-12-06,2022-03-07,Single product class,Unavailable,4.0,,http://www.teac.co.nz,4.32358364125942,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,EPS,Analogue/Digital,AS/NZS 62087.1:2010,ZTV0033,AS/NZS 62087.2.2:2010 (Legacy)
63388,Panasonic,TH-P42ST50Z,,New Zealand,Thailand,106.561,4849.38,Plasma,0.4,13.0,0.3,100.0,5.5,5.52461983706064,369.0,Superseded,,2013-05-21,Single product class,Unavailable,3.5,http://www.panasonic.co.nz/,http://www.panasonic.co.nz,3.52461983706064,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ZTV0034,AS/NZS 62087.2.2:2010 (Legacy)
63389,Panasonic,TH-P50ST50Z,,New Zealand,Thailand,126.803,6873.1,Plasma,0.4,13.0,0.3,137.0,5.5,5.52075085235946,504.0,Superseded,,2013-05-21,Single product class,Unavailable,3.5,http://www.panasonic.co.nz/,http://www.panasonic.co.nz,3.52075085235946,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ZTV0035,AS/NZS 62087.2.2:2010 (Legacy)
63470,Panasonic,TH-L32X50Z,,New Zealand,Malaysia,80.103,2743.14,LCD (LED),0.3,7.52,0.15,29.54,8.0,8.80956313865946,110.0,Superseded,,2013-05-21,Single product class,Unavailable,6.0,http://www.panasonic.co.nz/,http://www.panasonic.co.nz,6.80956313865946,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ZTV0036,AS/NZS 62087.2.2:2010 (Legacy)
63695,Panasonic,TH-L32E5Z,,New Zealand,Malaysia,80.103,2743.14,LCD (LED),0.25,8.3,0.15,39.0,7.0,7.57155569904869,145.0,Superseded,2112-02-14,2013-05-21,Single product class,Unavailable,5.5,http://www.panasonic.co.nz/,http://www.panasonic.co.nz,5.57155569904869,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ZTV0037,AS/NZS 62087.2.2:2010 (Legacy)
63696,Panasonic,TH-L42E5Z,,New Zealand,Malaysia,106.697,4863.9,LCD (LED),0.15,13.7,0.15,56.0,8.0,8.14864174230585,206.0,Superseded,2112-02-14,2013-05-21,Single product class,Unavailable,6.0,http://www.panasonic.co.nz/,http://www.panasonic.co.nz,6.14864174230585,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ZTV0040,AS/NZS 62087.2.2:2010 (Legacy)
63697,Panasonic,TH-L47E5Z,,New Zealand,Malaysia,119.265,6076.462,LCD (LED),0.15,13.2,0.15,70.0,8.0,8.04089011632996,257.0,Superseded,2112-02-14,2013-05-21,Single product class,Unavailable,6.0,http://www.panasonic.co.nz/,http://www.panasonic.co.nz,6.04089011632996,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ZTV0039,AS/NZS 62087.2.2:2010 (Legacy)
63698,Panasonic,TH-P42UT50Z,,New Zealand,Thailand,106.561,4849.38,Plasma,0.4,14.0,0.3,112.0,5.0,5.01978360828753,413.0,Superseded,2112-02-14,2013-05-21,Single product class,Unavailable,3.0,http://www.panasonic.co.nz/,http://www.panasonic.co.nz,3.01978360828753,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ZTV0038,AS/NZS 62087.2.2:2010 (Legacy)
