"Brand_Reg","Unique count(Model_No)"
"AIWA",28
"AKAI",24
"ALTIUS",5
"AOA",5
"ARK",1
"AVEL INNOVATIONS",3
"BAUHN",61
"BLAUPUNKT",67
"BROOKLYN",1
"CAIXUN",13
"CHIQ",43
"CONCENTRIC CARE",1
"COOCAA",6
"DECAMAX",1
"DEVANTI",3
"DGTEC",7
"DIGITECH",6
"DYNALINK",1
"EKO",90
"ELITELUX",1
"EMETE",5
"ENGLAON",17
"FFALCON",26
"FURRION",4
"GORILLA",2
"HISENSE",119
"HITACHI",1
"HUBBL",1
"HUBBL GLASS",2
"HYUNDAI",7
"ILUMA",2
"JVC",91
"KODAK",5
"KOGAN",195
"KONIC",15
"KONKA",21
"LG",644
"LINSAR",35
"LOEWE",17
"LSP TV",1
"METZ",7
"MONSTER",4
"MYVI",3
"PALSONIC",1
"PANASONIC",75
"PHILIPS",103
"POLAROID",11
"PRISM+",8
"Q.BELL",2
"QBELL",7
"RCA",1
"S VISION",1
"SAMSUNG",432
"SHARETV",1
"SHARP",11
"SHENZHEN XINCHAODA TECHNOLOGY CO., LTD",4
"SIGNIFY",1
"SKYWORTH",16
"SMARTTECH",5
"SMTV",3
"SONIQ",7
"SONY",97
"SPHERE",5
"STAN CASH",1
"SVISION",4
"SYLVOX",17
"TAVICE",1
"TCL",93
"TEAC",10
"TECO",12
"TELEFUNKEN",5
"TENET",1
"THOMSON",3
"TOSHIBA",50
"VDT",1
"VEON",32
"VIANO",2
"WALTON",4
"YOKOHAMA",3
"ZEN TV",3
