"Screen_Tech","Labelled energy consumption (kWh/year)","screensize_inch"
"LCD (LED)",58,16
"LCD (LED)",58,16
"LCD (LED)",56,16
"LCD (LED)",60,18
"LCD (LED)",75,19
"LCD (LED)",75,19
"LCD (LED)",61,19
"LCD (LED)",62,19
"LCD (LED)",62,19
"LCD (LED)",62,19
"LCD (LED)",60,19
"LCD (LED)",67,19
"LCD (LED)",62,19
"LCD",62,19
"LCD",73,19
"LCD (LED)",58,19
"LCD (LED)",58,19
"LCD",56,19
"LCD",81,19
"LCD",106,21
"LCD (LED)",68,21
"LCD (LED)",76,22
"LCD (LED)",93,22
"LCD (LED)",102,22
"LCD",95,22
"LCD (LED)",78,22
"LCD (LED)",65,23
"LCD",90,23
"LCD",90,23
"LCD (LED)",68,24
"LCD (LED)",110,24
"LCD (LED)",76,24
"LCD",100,24
"LCD (LED)",77,24
"LCD (LED)",67,24
"LCD (LED)",70,24
"LCD",85,24
"LCD (LED)",68,24
"LCD",85,24
"LCD (LED)",68,24
"LCD (LED)",70,24
"LCD (LED)",70,24
"LCD (LED)",84,24
"LCD (LED)",85,24
"LCD (LED)",78,24
"LCD (LED)",95,24
"LCD",87,24
"LCD (LED)",107,24
"LCD",84,24
"LCD",84,24
"LCD",82,24
"LCD (LED)",90,24
"LCD (LED)",91,24
"LCD (LED)",68,24
"LCD (LED)",68,24
"LCD (LED)",82,24
"LCD (LED)",83,24
"LCD",67,24
"LCD (LED)",70,24
"LCD (LED)",68,24
"LCD (LED)",70,24
"LCD (LED)",100,24
"LCD",53,24
"LCD",120,24
"LCD (LED)",105,24
"LCD (LED)",105,24
"LCD",112,24
"LCD (LED)",90,24
"LCD (LED)",108,24
"LCD (LED)",102,24
"LCD (LED)",83,24
"LCD (LED)",66,24
"LCD",66,24
"LCD (LED)",84,24
"LCD (LED)",61,24
"LCD (LED)",70,24
"LCD (LED)",79,24
"LCD (LED)",96,24
"LCD",90,24
"LCD (LED)",70,24
"LCD (LED)",78,24
"LCD (LED)",95,24
"LCD",78,24
"LCD",78,24
"LCD",78,24
"LCD (LED)",82,24
"LCD (LED)",60,24
"LCD (LED)",110,24
"LCD",66,24
"LCD (LED)",96,24
"LCD (LED)",65,24
"LCD (LED)",110,24
"LCD (LED)",67,24
"LCD",76,24
"LCD",91,24
"LCD",94,24
"LCD",83,24
"LCD",94,24
"LCD",107,24
"LCD (LED)",76,24
"LCD (LED)",67,24
"LCD (LED)",82,24
"LCD",107,24
"LCD",66,24
"LCD (LED)",105,24
"LCD (LED)",74,24
"LCD (LED)",106,24
"LCD (LED)",95,24
"LCD (LED)",69,24
"LCD (LED)",76,24
"LCD",68,24
"LCD",68,24
"LCD (LED)",78,24
"LCD",68,24
"LCD (LED)",76,24
"LCD (LED)",59,24
"LCD (LED)",85,24
"LCD",81,24
"LCD (LED)",59,24
"LCD",83,24
"LCD",83,24
"LCD (LED)",88,24
"LCD (LED)",94,24
"LCD",81,24
"LCD",94,24
"LCD (LED)",83,24
"LCD (LED)",158,27
"LCD",59,27
"LCD (LED)",92,27
"LCD (LED)",158,30
"LCD (LED)",104,31
"LCD (LED)",104,31
"LCD (LED)",104,31
"LCD (LED)",104,31
"LCD",130,31
"LCD (LED)",104,31
"LCD (LED)",145,31
"LCD (LED)",131,31
"LCD",130,31
"LCD (LED)",110,31
"LCD (LED)",110,31
"LCD (LED)",112,31
"LCD (LED)",104,31
"LCD (LED)",160,31
"LCD (LED)",104,31
"LCD (LED)",104,31
"LCD (LED)",99,31
"LCD (LED)",104,31
"LCD (LED)",110,31
"LCD (LED)",116,31
"LCD (LED)",110,31
"LCD (LED)",130,31
"LCD (LED)",130,31
"LCD (LED)",145,31
"LCD (LED)",130,31
"LCD (LED)",104,31
"LCD (LED)",145,31
"LCD (LED)",152,31
"LCD (LED)",140,31
"LCD",130,31
"LCD",130,31
"LCD (LED)",130,31
"LCD (LED)",134,31
"LCD (LED)",130,31
"LCD (LED)",134,31
"LCD",130,31
"LCD",92,31
"LCD (LED)",116,31
"LCD (LED)",146,32
"LCD (LED)",109,32
"LCD (LED)",116,32
"LCD (LED)",119,32
"LCD (LED)",114,32
"LCD",127,32
"LCD (LED)",140,32
"LCD (LED)",114,32
"LCD (LED)",130,32
"LCD (LED)",104,32
"LCD (LED)",123,32
"LCD",98,32
"LCD (LED)",125,32
"LCD (LED)",138,32
"LCD (LED)",134,32
"LCD (LED)",110,32
"LCD (LED)",105,32
"LCD (LED)",99,32
"LCD (LED)",110,32
"LCD (LED)",98,32
"LCD (LED)",98,32
"LCD (LED)",120,32
"LCD (LED)",135,32
"LCD",128,32
"LCD (LED)",102,32
"LCD (LED)",132,32
"LCD (LED)",115,32
"LCD",101,32
"LCD (LED)",110,32
"LCD",99,32
"LCD",99,32
"LCD (LED)",145,32
"LCD (LED)",116,32
"LCD",101,32
"LCD (LED)",151,32
"LCD (LED)",115,32
"LCD (LED)",131,32
"LCD",103,32
"LCD (LED)",104,32
"LCD (LED)",146,32
"LCD",131,32
"LCD (LED)",110,32
"LCD",118,32
"LCD (LED)",151,32
"LCD",118,32
"LCD",118,32
"LCD (LED)",148,32
"LCD",119,32
"LCD",105,32
"LCD (LED)",110,32
"LCD",102,32
"LCD",90,32
"LCD (LED)",118,32
"LCD (LED)",123,32
"LCD",90,32
"LCD",90,32
"LCD (LED)",124,32
"LCD",89,32
"LCD (LED)",110,32
"LCD (LED)",122,32
"LCD (LED)",140,32
"LCD",102,32
"LCD",129,32
"LCD (LED)",95,32
"LCD (LED)",150,32
"LCD (LED)",110,32
"LCD (LED)",180,32
"LCD (LED)",127,32
"LCD (LED)",150,32
"LCD (LED)",118,32
"LCD (LED)",163,32
"LCD (LED)",105,32
"LCD (LED)",93,32
"LCD (LED)",131,32
"LCD",145,32
"LCD",90,32
"LCD (LED)",110,32
"LCD (LED)",130,32
"LCD (LED)",130,32
"LCD",108,32
"LCD (LED)",125,32
"LCD (LED)",125,32
"LCD",108,32
"LCD (LED)",101,32
"LCD (LED)",151,32
"LCD",89,32
"LCD",89,32
"LCD (LED)",131,32
"LCD (LED)",131,32
"LCD",131,32
"LCD (LED)",133,32
"LCD (LED)",105,32
"LCD (LED)",95,32
"LCD (LED)",145,32
"LCD (LED)",116,32
"LCD (LED)",101,32
"LCD (LED)",131,32
"LCD (LED)",125,32
"LCD (LED)",90,32
"LCD (LED)",116,32
"LCD (LED)",145,32
"LCD (LED)",125,32
"LCD (LED)",93,32
"LCD",130,32
"LCD (LED)",125,32
"LCD (LED)",130,32
"LCD",119,32
"LCD (LED)",97,32
"LCD (LED)",101,32
"LCD (LED)",102,32
"LCD (LED)",145,32
"LCD (LED)",131,32
"LCD (LED)",106,32
"LCD (LED)",102,32
"LCD (LED)",101,32
"LCD (LED)",131,32
"LCD (LED)",125,32
"LCD (LED)",131,32
"LCD (LED)",145,32
"LCD (LED)",131,32
"LCD (LED)",110,32
"LCD (LED)",116,32
"LCD",101,32
"LCD (LED)",60,32
"LCD (LED)",89,32
"LCD (LED)",100,32
"LCD (LED)",127,32
"LCD (LED)",112,32
"LCD (LED)",112,32
"LCD (LED)",60,32
"LCD (LED)",112,32
"LCD (LED)",116,32
"LCD (LED)",89,32
"LCD",131,32
"LCD (LED)",127,32
"LCD (LED)",116,32
"LCD (LED)",110,32
"LCD (LED)",100,32
"LCD (LED)",145,32
"LCD (LED)",175,34
"LCD (LED)",138,38
"LCD (LED)",148,39
"LCD",155,39
"LCD (LED)",218,39
"LCD",151,39
"LCD (LED)",149,39
"LCD",151,39
"LCD",131,39
"LCD (LED)",185,39
"LCD (LED)",141,39
"LCD (LED)",141,39
"LCD (LED)",189,39
"LCD (LED)",151,39
"LCD (LED)",148,39
"LCD (LED)",151,39
"LCD",150,39
"LCD",150,39
"LCD",149,39
"LCD",150,39
"LCD (LED)",144,39
"LCD (LED)",149,39
"LCD (LED)",180,39
"LCD (LED)",189,39
"LCD (LED)",180,39
"LCD (LED)",149,39
"LCD (LED)",148,39
"LCD",189,39
"LCD (LED)",148,39
"LCD (LED)",151,39
"LCD (LED)",140,39
"LCD (LED)",148,39
"LCD (LED)",140,39
"LCD (LED)",165,40
"LCD (LED)",135,40
"LCD (LED)",155,40
"LCD (LED)",202,40
"LCD (LED)",211,40
"LCD (LED)",175,40
"LCD (LED)",151,40
"LCD (LED)",151,40
"LCD (LED)",151,40
"LCD (LED)",122,40
"LCD (LED)",151,40
"LCD (LED)",151,40
"LCD (LED)",151,40
"LCD",252,40
"LCD",155,40
"LCD (LED)",135,40
"LCD (LED)",135,40
"LCD (LED)",151,40
"LCD",186,40
"LCD",186,40
"LCD (LED)",140,40
"LCD",175,40
"LCD",151,40
"LCD",151,40
"LCD",175,40
"LCD (LED)",175,40
"LCD (LED)",180,40
"LCD",186,40
"LCD",186,40
"LCD (LED)",121,40
"LCD (LED)",189,40
"LCD (LED)",210,40
"LCD",181,40
"LCD (LED)",158,40
"LCD (LED)",210,40
"LCD (LED)",126,40
"LCD (LED)",210,40
"LCD (LED)",183,40
"LCD (LED)",183,40
"LCD (LED)",189,40
"LCD (LED)",259,40
"LCD (LED)",144,40
"LCD (LED)",198,40
